Champion Name,Champion ID,Rank ID,Region ID,Win Rate,Pick Rate,Ban Rate,Matches,Role,Worst Against 1,Worst Against 2,Worst Against 3,Worst Against 4,Worst Against 5,Worst Against 6,Best Against 1,Best Against 2,Best Against 3,Best Against 4,Best Against 5,Best Against 6,Best With 1,Best With 2,Best With 3,Best With 4,Best With 5,Best With 6,Similar Champion 1,Similar Champion 2,Similar Champion 3,Similar Champion 4,WR Worst Against1,WR Worst Against2,WR Worst Against3,WR Worst Against4,WR Worst Against5,WR Worst Against6,WR Best Against1,WR Best Against2,WR Best Against3,WR Best Against4,WR Best Against5,WR Best Against6,WR Best With1,WR Best With2,WR Best With3,WR Best With4,WR Best With5,WR Best With6
Aatrox,1,1,1,49.8,11.3,7.0,22519,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,2,51.3,8.0,8.1,7592,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,3,50.5,7.1,6.3,17221,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,4,50.0,6.7,6.2,7407,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,5,50.7,8.9,9.8,8204,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,6,50.8,8.3,7.7,3807,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,7,50.8,11.0,9.6,1346,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,8,51.0,7.0,10.0,3052,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,9,51.1,10.9,14.9,1571,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,10,50.8,16.6,11.8,3096,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,1,11,50.2,20.6,20.7,23291,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,2,1,49.8,11.3,7.0,22519,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,2,2,51.3,8.0,8.1,7592,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,2,3,50.5,7.1,6.3,16121,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,2,4,50.0,6.7,6.2,7407,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
Aatrox,1,2,5,50.7,8.9,9.8,8204,1,118,62,137,33,65,43,27,119,22,156,155,128,96,139,150,47,6,103,33,65,103,136,45.5,45.8,46.1,46.2,46.3,46.4,56.8,56.0,55.5,55.0,54.4,54.0,54.4,54.3,54.3,54.3,54.2,53.7
